AR_Ref,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
DAKD-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,23.08,0.66,11.25,12.25,20.04,7.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DAKS-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.29,0.87,10.0,14.0,19.29,7.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HBB1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,21.75,31.0,25.17,51.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDB4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,136.75,53.0,54.17,75.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDB4.5-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25,28.0,47.0,58.0,13.0,63.25,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
HERB115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,26.38,0.91,2.97,36.0,169.02,65.0,79.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERB50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,56.0,1.7799999999999998,5.68,120.0,159.02,79.25,122.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
HMO5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,20.75,20.0,31.17,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNB1.0-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,91.25,65.0,61.785,34.0,109.41,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
HNB1.0-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75,803.75,383.0,332.46,77.0,654.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
