AR_Ref,AR_Design,TotalSortie,TotalEntree,ValeurSortie,NbJoursSortie,MoyenneSortie
MHCH013,"GOUDA KROON 4,5KG",3217.32,3224.1,287754.66,188,17.11340425531915
P9003,PERLA FILET MAQUEREAU HUILE VEGETALE 1/4,3066.0,3066.0,872999.92,11,278.72727272727275
N-1037,MORCELÉS MAQUEREAU HUILE PIMENTÉE 1/10 JOLY,3048.0,3048.0,298201.21,33,92.36363636363636
HNB1.0-60,Vatika Henna Hair Colour Natural Black 1.0  - 60 gm,2634.96,3071.45,535731.46,67,27.16453608247423
MRIZ003,RIZ LONG ROZALINA 1KG,2582.0,3065.0,38704.18,101,24.826923076923077
N-5006,DOUBLE CONCENTRÉ DE TOMATE 4/4 DÉLICIA OF-METAL-,2511.0,2511.0,280799.97,48,52.3125
180000720,TIFFANY SWICH-TAG 23G CHOCOLATE(*96),2457.0,4858.0,138477.41,40,46.35849056603774
000066,TIFFANY CHUNKOS 40G CHOCOLATE(*60),2438.0,3524.98,181463.96,34,58.04761904761905
MHCH009,"GOUDA CUMIN KROON 4,5KG",2418.86,2418.86,218075.32,172,14.063139534883721
MIS120,Dabur Miswak Herbal Pure Al-Arak Extract 120+50 gr,2413.41,2512.07,1010416.7,70,24.880515463917526
N-7002,SARDINE HUILE VÉGÉTALE 1/4  JOLY ( EN ETUI),2386.0,2386.0,487902.35000000003,57,41.85964912280702
5000,MLF BABY LOTION WET WIPE 63X12,2370.65,2699.0,142770.02,35,67.73285714285714
N-5001,DOUBLE CONCENTRÉ DE TOMATE 1/12 DÉLICIA OF-METAL-,2364.92,2364.92,164267.6,44,53.74818181818182
N5003,MOLFIX CH DIAPER MIDI 40*4 TWIN MA ,2299.0,2544.0,331391.55,44,52.25
MRIZ001,RIZ ROND ROZALINA 1KG,2268.0,2829.0,31008.329999999998,100,21.807692307692307
V003,RICE VERMICELLE 125G*60PS,2101.17,2718.0,249619.0,29,60.03342857142857
